wikidata_id,xeno_canto_id
Q1260197,Rallicula-rubra
Q2922483,Bradypterus-graueri
Q685999,Pharomachrus-pavoninus
Q973214,Coracina-caledonica
Q27036751,Macropygia-modiglianii
Q18923,Coccyzus-minor
Q1314908,Nesoptilotis-flavicollis
Q3302107,Aethopyga-linaraborae
Q2225611,Apalis-binotata
Q1264098,Pharomachrus-fulgidus
Q28514,Sterna-aurantia
Q591647,Empidonax-atriceps
Q652028,Agelastes-niger
Q27075659,Cossypha-ansorgei
Q1269899,Asthenes-palpebralis
Q259706,Incaspiza-laeta
Q997413,Amazilia-chionogaster
Q606626,Corvus-validus
Q1589908,Arremon%20taciturnus
Q1387028,Arborophila-chloropus
Q1076000,Lanius-sphenocercus
Q1242914,Tachyphonus-delatrii
Q2224745,Arizelocichla-tephrolaema
Q3118420,Rhipidura-cyaniceps
Q1306130,Muscicapa-randi
Q27074615,Ardea-intermedia
Q27456,Aerodramus-pelewensis
Q574776,Hafferia-fortis
Q3729103,Phylloscopus-sindianus
Q756714,Gallirallus-australis
Q3498794,Thalasseus-acuflavidus
Q997454,Dicaeum-hypoleucum
Q923010,Oriolus-auratus
Q26205,Emberiza-citrinella
Q25185408,Lonchura-oryzivora
Q177396,Gorsachius-magnificus
Q1259546,Psittinus-cyanurus
Q2511716,Copsychus-mindanensis
Q1267384,Urotriorchis-macrourus
Q1271379,Caprimulgus-rufigena
Q27227,Elanus-caeruleus
Q1413196,Loxops-ochraceus
Q28913228,Phylloscopus-montis
Q1275871,Cinclodes-albidiventris
Q578352,Mandingoa-nitidula
Q1271572,Asthenes-dorbignyi
Q3342040,Ninox-forbesi
Q1590970,Galerida-malabarica
Q1586211,Strepera-fuliginosa
Q27074618,Leucocarbo-chalconotus
Q1306280,Melaenornis-pammelaina
Q2017168,Phaenicophaeus-curvirostris
Q27074874,Caloramphus-fuliginosus
Q3356701,Ortalis-araucuan
Q1923027,Phylloscopus-chloronotus
Q535416,Colibri-delphinae
Q378365,Anthracothorax-viridigula
Q1262062,Cypseloides-cryptus
Q12257865,Ficedula-elisae
Q467068,Athene-cunicularia
Q2927908,Chlorocichla-laetissima
Q121758,Colaptes-rupicola
Q1140949,Gymnorhina-tibicen
Q2699864,Monticola-sharpei
Q1080395,Lophornis-chalybeus
Q28910291,Myrmelastes-schistaceus
Q862825,Amaurornis-phoenicurus
Q614789,Brachygalba-lugubris
Q370297,Ninox-strenua
Q929962,Capito-niger
Q193593,Certhia familiaris
Q587047,Metallura-tyrianthina
Q785217,Elaenia-obscura
Q220578,Ardea-melanocephala
Q174976,Lagonosticta-nitidula
Q538383,Dicaeum-hirundinaceum
Q551736,Turdus-grayi
Q1263294,Phaethornis-hispidus
Q542722,Leucippus-chlorocercus
Q1271552,Myiozetetes-cayanensis
Q855024,Merops-boehmi
Q690826,Ficedula-albicollis
Q1300873,Cossyphicula-roberti
Q903053,Conopophaga-lineata
Q845964,Cacatua-tenuirostris
Q27074809,Lophoceros-bradfieldi
Q1812742,Mohoua-novaeseelandiae
Q725276,Aramus-guarauna
Q27074757,Setopagis-whitelyi
Q204140,Todiramphus-cinnamominus
Q1590005,Icterus-wagleri
Q1262737,Graydidascalus-brachyurus
Q682213,Eos-semilarvata
Q1274300,Meiglyptes-tukki
Q259849,Phaethornis-yaruqui
Q27075187,Ceratopipra-mentalis
Q28836860,Lalage-typica
Q27074577,Pternistis-ochropectus
Q241499,Ficedula-parva
Q1304682,Heterocercus-aurantiivertex
Q2926383,Spizella-atrogularis
Q27075493,Locustella-castanea
Q31898,Todiramphus-chloris
Q282242,Anhinga-melanogaster
Q27074911,Picoides-pubescens
Q606661,Pseudoseisura-cristata
Q1379530,Cistothorus-palustris
Q1586718,Buthraupis-montana
Q1263936,Hydropsalis-climacocerca
Q1253755,Eolophus-roseicapilla
Q882017,Celeus-lugubris
Q1264540,Oreotrochilus-melanogaster
Q427834,Lissotis-hartlaubii
Q1274562,Galbula-tombacea
Q27074829,Rhabdotorrhinus-exarhatus
Q976787,Phylloscopus-ibericus
Q27042035,Turacoena-sulaensis
Q2226068,Muscicapa-comitata
Q994409,Zosterops-albogularis
Q1304007,Leucosticte-tephrocotis
Q1261422,Chaetura-egregia
Q1584267,Oriolus-chlorocephalus
Q1036483,Certhia himalayana
Q27074573,Pternistis-camerunensis
Q1164632,Cyanoramphus-forbesi
Q1267993,Ptilinopus-rivoli
Q583429,Amazona-albifrons
Q901228,Leipoa-ocellata
Q27074557,Peliperdix-albogularis
Q27036664,Macropygia-timorlaoensis
Q1042519,Tangara-lavinia
Q545585,Corythopis-delalandi
Q283461,Opisthoprora-euryptera
Q906868,Coua-verreauxi
Q388301,Hierococcyx-sparverioides
Q490327,Chloephaga-melanoptera
Q2667649,Pachycephala-phaionota
Q1266791,Chlorostilbon-forficatus
Q2628826,Pardalotus-rubricatus
Q783378,Centropus-goliath
Q663363,Turnix-varius
Q205477,Ara-ararauna
Q302853,Hydrornis-oatesi
Q251930,Parkerthraustes-humeralis
Q2828918,Pellorneum-palustre
Q1210137,Euphonia-laniirostris
Q780875,Attila-cinnamomeus
Q27075387,Melaniparus-fringillinus
Q1585720,Oriolus-steerii
Q1266857,Caprimulgus-natalensis
Q1262700,Thalassarche-cauta
Q1265877,Syma-megarhyncha
Q2630949,Chlorochrysa-phoenicotis
Q614824,Pycnonotus-aurigaster
Q934343,Rallus-madagascariensis
Q244227,Ispidina-picta
Q735158,Halcyon-smyrnensis
Q676270,Phylloscartes-difficilis
Q827866,Platycercus-eximius
Q1273640,Touit-costaricensis
Q207249,Eremophila-alpestris
Q208328,Gavia-adamsii
Q1094958,Platyspiza-crassirostris
Q26452,Anser-fabalis
Q1265793,Zoonavena-sylvatica
Q659632,Spizella-breweri
Q46435,Dicrurus-macrocercus
Q868088,Cnemotriccus-fuscatus
Q432058,Amazilia-amabilis
Q518628,Agriornis-lividus
Q646048,Oxyura-vittata
Q3114690,Ramphocelus-flammigerus
Q27075056,Hydrornis-cyaneus
Q1268888,Nystalus-chacuru
Q1028619,Hemithraupis-guira
Q2668185,Nesospiza-acunhae
Q1274648,Amazona-kawalli
Q251939,Megascops-asio
Q388494,Sarothrura-affinis
Q1271472,Circaetus-beaudouini
Q684348,Turdus-fumigatus
Q1543897,Diglossa-carbonaria
Q637624,Falco-alopex
Q1065072,Gallinula-pacifica
Q27074900,Dendropicos-obsoletus
Q1269889,Rhytipterna-holerythra
Q620443,Morphnus-guianensis
Q596917,Leucophaeus-fuliginosus
Q1586476,Vireo-solitarius
Q3315267,Anthus-brachyurus
Q168677,Aegypius-monachus
Q62395566,Aethomyias-spilodera
Q31617,Rostratula-benghalensis
Q27075762,Akialoa-ellisiana
Q1305548,Oreocharis-arfaki
Q776555,Pooecetes-gramineus
Q649024,Merops-bullockoides
Q490294,Certhia americana
Q1588883,Enicurus-leschenaulti
Q548024,Phalacrocorax-lucidus
Q1265989,Ninox-ios
Q1301996,Poecilodryas-cerviniventris
Q1273813,Campethera-abingoni
Q788836,Erythropitta-kochi
Q246468,Pseudochelidon-eurystomina
Q1260809,Phacellodomus-rufifrons
